number_plate,brand,color,time,stoled
N001,BMW,black,night,yes
N002,Audi,black,night,no
N003,NISSAN,black,night,yes
N004,VEGA,red,day,yes
N005,BMW,blue,day,no
N006,Audi,black,day,yes
N007,VEGA,red,night,no
N008,Audi,blue,day,yes
N009,VEGA,black,day,yes
N010,NISSAN,blue,day,no
N011,BMW,black,night,yes
N012,NISSAN,red,day,no
N013,VEGA,black,night,yes
N014,BMW,red,day,no
N015,Audi,black,day,yes
N016,Audi,blue,night,yes
N017,Audi,red,day,no
N018,NISSAN,black,day,yes
N019,BMW,blue,day,yes
N020,BMW,red,night,yes
